n,positive_count,negative_count,positive_rate,brier,ece,auc,auprc,bundle,variant,horizon
313280,2463,310817,0.007861976506639428,0.005084380577692411,0.0011575841953847528,0.9457003949034709,0.4314394244445971,main,calibrated_monotonic,1
313280,7069,306211,0.022564479060265576,0.008630962205144324,0.0034306789682084357,0.9589271617499343,0.6945066525377118,main,calibrated_monotonic,3
313280,11207,302073,0.03577311031664964,0.017443310798846916,0.009390151343523381,0.8919721099706308,0.7055063323206674,main,calibrated_monotonic,5
313280,,,,0.010386217860561217,0.00465947150237219,0.9321998888746786,0.6104841364343254,main,calibrated_monotonic,mean
313280,2463,310817,0.007861976506639428,0.005084380577692411,0.0011575841953847528,0.9457003949034709,0.4314394244445971,main,calibrated,1
313280,7069,306211,0.022564479060265576,0.008558619212951677,0.0032923548146133394,0.9592255241916803,0.695815996086877,main,calibrated,3
313280,11207,302073,0.03577311031664964,0.01809672201132858,0.011382876210038292,0.8893452151170642,0.582689215686613,main,calibrated,5
313280,,,,0.010579907267324223,0.005277605073345462,0.9314237114040718,0.5699815454060291,main,calibrated,mean
313280,2463,310817,0.007861976506639428,0.011140271026569446,0.011452184731249367,0.976552533178145,0.444311410124646,main,raw_monotonic,1
313280,7069,306211,0.022564479060265576,0.017605931459160982,0.01822444029979528,0.9787399991612052,0.7157746815608371,main,raw_monotonic,3
313280,11207,302073,0.03577311031664964,0.04182435715464655,0.0438716191884984,0.9035749132443094,0.6279331894065561,main,raw_monotonic,5
313280,,,,0.02352351988012566,0.02451608140651435,0.9529558151945533,0.5960064270306797,main,raw_monotonic,mean
313280,2463,310817,0.007861976506639428,0.011140271026569446,0.011452184731249367,0.976552533178145,0.444311410124646,main,raw,1
313280,7069,306211,0.022564479060265576,0.016148141600835383,0.016623662710870984,0.9804603899661334,0.7245470760773914,main,raw,3
313280,11207,302073,0.03577311031664964,0.039776460334105285,0.041647262644362484,0.905484053703232,0.6373311597885748,main,raw,5
313280,,,,0.022354957653836705,0.02324103669549428,0.9541656589491702,0.6020632153302041,main,raw,mean
313280,2463,310817,0.007861976506639428,0.004817563232726387,0.0007300802861928428,0.9592146545229766,0.45164463566522794,extended,calibrated_monotonic,1
313280,7069,306211,0.022564479060265576,0.008347160384482522,0.0031901012075552654,0.9647510583705379,0.6936565527949283,extended,calibrated_monotonic,3
313280,11207,302073,0.03577311031664964,0.017114789206187454,0.00936271256681121,0.900273765488765,0.7259824134279514,extended,calibrated_monotonic,5
313280,20309,292971,0.06482699182839632,0.015545336701000246,0.017266963496308078,0.9519584864226747,0.8903410131624485,extended,calibrated_monotonic,10
313280,27628,285652,0.08818947906026557,0.02446094190833724,0.014140806384862661,0.9584891413903881,0.8893101889088533,extended,calibrated_monotonic,15
313280,41870,271410,0.13365040858018387,0.02567878899551732,0.015553133563818489,0.979536751027485,0.9236893697213984,extended,calibrated_monotonic,30
313280,49577,263703,0.15825140449438202,0.02684825771152978,0.019119047735971062,0.9802892024056041,0.9070827773773854,extended,calibrated_monotonic,45
313280,54299,258981,0.17332418283963227,0.02964407349481022,0.016583608029673277,0.9790616118603397,0.9255310849038,extended,calibrated_monotonic,60
313280,,,,0.019057113954323895,0.011993306658899111,0.9591968339360963,0.8009047544952492,extended,calibrated_monotonic,mean
313280,2463,310817,0.007861976506639428,0.004817563232726387,0.0007300802861928428,0.9592146545229766,0.45164463566522794,extended,calibrated,1
313280,7069,306211,0.022564479060265576,0.008274958643495884,0.0029366234831844744,0.9649198357713356,0.6945497538904222,extended,calibrated,3
313280,11207,302073,0.03577311031664964,0.017865140131498754,0.011432258863672374,0.8974536901794684,0.5950914485535105,extended,calibrated,5
313280,20309,292971,0.06482699182839632,0.010736380398653309,0.008430671222973557,0.9543254859170711,0.8953933414347952,extended,calibrated,10
313280,27628,285652,0.08818947906026557,0.020711045136472456,0.009241813801370981,0.9589388303086297,0.8489906826775154,extended,calibrated,15
313280,41870,271410,0.13365040858018387,0.021083050598298982,0.009507150400565633,0.9793249306818121,0.8992828092487908,extended,calibrated,30
313280,49577,263703,0.15825140449438202,0.022228027876678016,0.008769694302052164,0.9812496398530286,0.9086668020897185,extended,calibrated,45
313280,54299,258981,0.17332418283963227,0.02259195729326122,0.010352016732302259,0.9796594603732997,0.9267718761332434,extended,calibrated,60
313280,,,,0.016038515413885627,0.007675038636539285,0.9593858159509527,0.777548918711653,extended,calibrated,mean
313280,2463,310817,0.007861976506639428,0.011188454714324666,0.011449591615607931,0.9798928131298448,0.4636751841519481,extended,raw_monotonic,1
313280,7069,306211,0.022564479060265576,0.017313786568398763,0.017989976779633352,0.9808117318061456,0.7144239632761186,extended,raw_monotonic,3
313280,11207,302073,0.03577311031664964,0.04124997569438556,0.043191959130846634,0.9195570344146953,0.6407447436486639,extended,raw_monotonic,5
313280,20309,292971,0.06482699182839632,0.04168858110497735,0.04362870883096655,0.9628365476386306,0.8063449496294306,extended,raw_monotonic,10
313280,27628,285652,0.08818947906026557,0.05275720102392955,0.05434013708620064,0.9668308512342993,0.8051357526716327,extended,raw_monotonic,15
313280,41870,271410,0.13365040858018387,0.05278544569531876,0.05447501088464673,0.9800002217981378,0.8751145263772626,extended,raw_monotonic,30
313280,49577,263703,0.15825140449438202,0.05209778739969099,0.0539346027260839,0.9814689492019218,0.8904466656315124,extended,raw_monotonic,45
313280,54299,258981,0.17332418283963227,0.054948962702806955,0.05679238724697622,0.9786655562575152,0.8939220589796629,extended,raw_monotonic,60
313280,,,,0.04050377436297908,0.04197529678762024,0.9687579631851488,0.761225980545779,extended,raw_monotonic,mean
313280,2463,310817,0.007861976506639428,0.011188454714324666,0.011449591615607931,0.9798928131298448,0.4636751841519481,extended,raw,1
313280,7069,306211,0.022564479060265576,0.015876531193844624,0.016406622603286448,0.9822339396477545,0.7217871350269162,extended,raw,3
313280,11207,302073,0.03577311031664964,0.039293473910387795,0.04107555268785932,0.9208903298941354,0.6502000966633044,extended,raw,5
313280,20309,292971,0.06482699182839632,0.01498524514837185,0.015499407634162151,0.9767793871317202,0.9207118130728004,extended,raw,10
313280,27628,285652,0.08818947906026557,0.02989887740102972,0.03014945931613359,0.9785233894395668,0.8832757267825877,extended,raw,15
313280,41870,271410,0.13365040858018387,0.031006549983350312,0.03146706922490247,0.986272464013285,0.918787182601897,extended,raw,30
313280,49577,263703,0.15825140449438202,0.03144148488851426,0.031917872113084035,0.9867268729114187,0.9252862023893461,extended,raw,45
313280,54299,258981,0.17332418283963227,0.030792860888343487,0.031119789155897127,0.9861553685016868,0.9425532453394735,extended,raw,60
313280,,,,0.02556043476602084,0.026135670543866635,0.9746843205836766,0.8032845732535341,extended,raw,mean
