strategy,episode_id,n_steps,outcome,failure_onset,call_count,verifier_call_rate,first_alarm_step,first_terminal_step,terminal_decision,lead_chunks,early_warning,warning_at_or_before_failure,missed_warning,decision_counts
event_driven,failure_eval_0000.hdf5:0,77,failure,44,1,0.012987012987012988,0,0,abstain,44,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:1,76,failure,75,1,0.013157894736842105,0,0,abstain,75,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:2,30,failure,26,1,0.03333333333333333,0,0,abstain,26,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:3,49,failure,10,1,0.02040816326530612,0,0,abstain,10,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:4,92,failure,74,1,0.010869565217391304,0,0,abstain,74,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:5,313,failure,19,1,0.003194888178913738,0,0,abstain,19,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:6,367,failure,11,1,0.0027247956403269754,0,0,abstain,11,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:7,78,failure,3,1,0.01282051282051282,0,0,abstain,3,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:8,107,failure,77,1,0.009345794392523364,0,0,abstain,77,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:9,64,failure,28,1,0.015625,0,0,abstain,28,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:10,77,failure,66,1,0.012987012987012988,0,0,abstain,66,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:11,270,failure,112,20,0.07407407407407407,20,20,abstain,92,True,True,False,"{""abstain"": 1, ""continue"": 19}"
event_driven,failure_eval_0000.hdf5:12,209,failure,137,1,0.004784688995215311,0,0,abstain,137,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:13,167,failure,131,1,0.005988023952095809,0,0,abstain,131,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:14,65,failure,2,1,0.015384615384615385,0,0,abstain,2,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:15,138,failure,28,1,0.007246376811594203,0,0,abstain,28,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:16,43,failure,39,1,0.023255813953488372,0,0,abstain,39,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:17,220,failure,181,1,0.004545454545454545,0,0,abstain,181,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:18,70,failure,61,1,0.014285714285714285,0,0,abstain,61,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:19,183,failure,17,1,0.00546448087431694,0,0,abstain,17,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:20,49,failure,31,1,0.02040816326530612,0,0,abstain,31,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:21,35,failure,2,1,0.02857142857142857,0,0,abstain,2,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:22,148,failure,18,1,0.006756756756756757,0,0,abstain,18,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:23,36,failure,2,1,0.027777777777777776,0,0,abstain,2,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:24,53,failure,45,11,0.20754716981132076,11,11,abstain,34,True,True,False,"{""abstain"": 1, ""continue"": 10}"
event_driven,failure_eval_0000.hdf5:25,121,failure,105,1,0.008264462809917356,0,0,abstain,105,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:26,117,failure,80,1,0.008547008547008548,0,0,abstain,80,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:27,102,failure,55,1,0.00980392156862745,0,0,abstain,55,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:28,66,failure,53,12,0.18181818181818182,12,12,abstain,41,True,True,False,"{""abstain"": 1, ""continue"": 11}"
event_driven,failure_eval_0000.hdf5:29,122,failure,59,1,0.00819672131147541,0,0,abstain,59,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0000.hdf5:30,184,failure,90,23,0.125,23,23,abstain,67,True,True,False,"{""abstain"": 1, ""continue"": 22}"
event_driven,failure_eval_0000.hdf5:31,189,failure,50,1,0.005291005291005291,0,0,abstain,50,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:0,30,failure,26,1,0.03333333333333333,0,0,abstain,26,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:1,55,failure,18,1,0.01818181818181818,0,0,abstain,18,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:2,73,failure,64,1,0.0136986301369863,0,0,abstain,64,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:3,1240,failure,526,10,0.008064516129032258,10,10,abstain,516,True,True,False,"{""abstain"": 1, ""continue"": 9}"
event_driven,failure_eval_0001.hdf5:4,40,failure,2,1,0.025,0,0,abstain,2,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:5,92,failure,78,22,0.2391304347826087,22,22,abstain,56,True,True,False,"{""abstain"": 1, ""continue"": 21}"
event_driven,failure_eval_0001.hdf5:6,117,failure,24,11,0.09401709401709402,11,11,abstain,13,True,True,False,"{""abstain"": 1, ""continue"": 10}"
event_driven,failure_eval_0001.hdf5:7,111,failure,89,14,0.12612612612612611,14,14,abstain,75,True,True,False,"{""abstain"": 1, ""continue"": 13}"
event_driven,failure_eval_0001.hdf5:8,193,failure,125,1,0.0051813471502590676,0,0,abstain,125,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:9,115,failure,56,19,0.16521739130434782,19,19,abstain,37,True,True,False,"{""abstain"": 1, ""continue"": 18}"
event_driven,failure_eval_0001.hdf5:10,167,failure,140,1,0.005988023952095809,0,0,abstain,140,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:11,138,failure,6,1,0.007246376811594203,0,0,abstain,6,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:12,16,failure,12,1,0.0625,0,0,abstain,12,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:13,85,failure,61,1,0.011764705882352941,0,0,abstain,61,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:14,128,failure,68,1,0.0078125,0,0,abstain,68,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:15,103,failure,82,1,0.009708737864077669,0,0,abstain,82,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:16,95,failure,30,8,0.08421052631578947,8,8,abstain,22,True,True,False,"{""abstain"": 1, ""continue"": 7}"
event_driven,failure_eval_0001.hdf5:17,45,failure,35,1,0.022222222222222223,0,0,abstain,35,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:18,74,failure,65,1,0.013513513513513514,0,0,abstain,65,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:19,63,failure,22,1,0.015873015873015872,0,0,abstain,22,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:20,105,failure,74,1,0.009523809523809525,0,0,abstain,74,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:21,108,failure,47,1,0.009259259259259259,0,0,abstain,47,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:22,832,failure,693,1,0.001201923076923077,0,0,abstain,693,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:23,128,failure,63,7,0.0546875,7,7,abstain,56,True,True,False,"{""abstain"": 1, ""continue"": 6}"
event_driven,failure_eval_0001.hdf5:24,82,failure,70,1,0.012195121951219513,0,0,abstain,70,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:25,40,failure,34,1,0.025,0,0,abstain,34,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:26,173,failure,2,1,0.005780346820809248,0,0,abstain,2,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:27,81,failure,2,1,0.012345679012345678,0,0,abstain,2,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:28,197,failure,8,1,0.005076142131979695,0,0,abstain,8,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:29,305,failure,237,1,0.003278688524590164,0,0,abstain,237,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:30,14,failure,11,1,0.07142857142857142,0,0,abstain,11,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0001.hdf5:31,71,failure,9,1,0.014084507042253521,0,0,abstain,9,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:0,89,failure,5,1,0.011235955056179775,0,0,abstain,5,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:1,187,failure,9,1,0.0053475935828877,0,0,abstain,9,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:2,382,failure,24,1,0.002617801047120419,0,0,abstain,24,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:3,78,failure,57,1,0.01282051282051282,0,0,abstain,57,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:4,87,failure,64,1,0.011494252873563218,0,0,abstain,64,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:5,86,failure,18,1,0.011627906976744186,0,0,abstain,18,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:6,50,failure,32,1,0.02,0,0,abstain,32,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:7,198,failure,59,1,0.005050505050505051,0,0,abstain,59,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:8,71,failure,14,1,0.014084507042253521,0,0,abstain,14,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:9,49,failure,18,1,0.02040816326530612,0,0,abstain,18,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:10,40,failure,39,1,0.025,0,0,abstain,39,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:11,39,failure,28,1,0.02564102564102564,0,0,abstain,28,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:12,80,failure,26,1,0.0125,0,0,abstain,26,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:13,18,failure,14,2,0.1111111111111111,1,1,abstain,13,True,True,False,"{""abstain"": 1, ""continue"": 1}"
event_driven,failure_eval_0002.hdf5:14,40,failure,30,1,0.025,0,0,abstain,30,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:15,67,failure,29,11,0.16417910447761194,11,11,abstain,18,True,True,False,"{""abstain"": 1, ""continue"": 10}"
event_driven,failure_eval_0002.hdf5:16,50,failure,2,1,0.02,0,0,abstain,2,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:17,14,failure,6,1,0.07142857142857142,0,0,abstain,6,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:18,102,failure,77,1,0.00980392156862745,0,0,abstain,77,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:19,37,failure,13,1,0.02702702702702703,0,0,abstain,13,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:20,123,failure,60,1,0.008130081300813009,0,0,abstain,60,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:21,137,failure,95,1,0.0072992700729927005,0,0,abstain,95,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:22,104,failure,26,5,0.04807692307692308,5,5,abstain,21,True,True,False,"{""abstain"": 1, ""continue"": 4}"
event_driven,failure_eval_0002.hdf5:23,46,failure,2,1,0.021739130434782608,0,0,abstain,2,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:24,20,failure,16,1,0.05,0,0,abstain,16,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:25,37,failure,26,1,0.02702702702702703,0,0,abstain,26,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:26,238,failure,22,1,0.004201680672268907,0,0,abstain,22,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:27,68,failure,60,1,0.014705882352941176,0,0,abstain,60,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:28,190,failure,2,1,0.005263157894736842,0,0,abstain,2,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:29,301,failure,71,1,0.0033222591362126247,0,0,abstain,71,True,True,False,"{""abstain"": 1}"
event_driven,failure_eval_0002.hdf5:30,262,failure,4,4,0.015267175572519083,4,4,abstain,0,False,True,False,"{""abstain"": 1, ""continue"": 3}"
