[2026-04-04 15:34:39] START 05_train_droid_curated
[train-sharded:train] 1/1197 shards | elapsed 01:00 | rate 0.02/shard/s | remaining 20:00:40 | epoch=1/1 shard=droid_train_0000.hdf5 samples=9450
[train-sharded:train] 2/1197 shards | elapsed 02:14 | rate 0.01/shard/s | remaining 22:15:20 | epoch=1/1 shard=droid_train_0001.hdf5 samples=10569
[train-sharded:train] 3/1197 shards | elapsed 03:13 | rate 0.02/shard/s | remaining 21:23:22 | epoch=1/1 shard=droid_train_0002.hdf5 samples=8961
[train-sharded:train] 4/1197 shards | elapsed 04:38 | rate 0.01/shard/s | remaining 23:03:30 | epoch=1/1 shard=droid_train_0003.hdf5 samples=11659
[train-sharded:train] 5/1197 shards | elapsed 05:34 | rate 0.01/shard/s | remaining 22:08:43 | epoch=1/1 shard=droid_train_0004.hdf5 samples=8766
[train-sharded:train] 6/1197 shards | elapsed 06:51 | rate 0.01/shard/s | remaining 22:39:14 | epoch=1/1 shard=droid_train_0005.hdf5 samples=10623
[train-sharded:train] 7/1197 shards | elapsed 08:05 | rate 0.01/shard/s | remaining 22:54:44 | epoch=1/1 shard=droid_train_0006.hdf5 samples=10654
[train-sharded:train] 8/1197 shards | elapsed 09:29 | rate 0.01/shard/s | remaining 23:29:06 | epoch=1/1 shard=droid_train_0007.hdf5 samples=11143
[train-sharded:train] 9/1197 shards | elapsed 10:29 | rate 0.01/shard/s | remaining 23:03:06 | epoch=1/1 shard=droid_train_0008.hdf5 samples=8996
[train-sharded:train] 10/1197 shards | elapsed 11:34 | rate 0.01/shard/s | remaining 22:53:56 | epoch=1/1 shard=droid_train_0009.hdf5 samples=9540
[train-sharded:train] 11/1197 shards | elapsed 12:30 | rate 0.01/shard/s | remaining 22:28:06 | epoch=1/1 shard=droid_train_0010.hdf5 samples=8405
[train-sharded:train] 12/1197 shards | elapsed 13:42 | rate 0.01/shard/s | remaining 22:33:25 | epoch=1/1 shard=droid_train_0011.hdf5 samples=10568
[train-sharded:train] 13/1197 shards | elapsed 14:37 | rate 0.01/shard/s | remaining 22:10:37 | epoch=1/1 shard=droid_train_0012.hdf5 samples=8460
[train-sharded:train] 14/1197 shards | elapsed 15:53 | rate 0.01/shard/s | remaining 22:22:39 | epoch=1/1 shard=droid_train_0013.hdf5 samples=10339
[train-sharded:train] 15/1197 shards | elapsed 16:57 | rate 0.01/shard/s | remaining 22:15:55 | epoch=1/1 shard=droid_train_0014.hdf5 samples=9480
[train-sharded:train] 16/1197 shards | elapsed 18:31 | rate 0.01/shard/s | remaining 22:47:14 | epoch=1/1 shard=droid_train_0015.hdf5 samples=10921
[train-sharded:train] 17/1197 shards | elapsed 19:25 | rate 0.01/shard/s | remaining 22:27:43 | epoch=1/1 shard=droid_train_0016.hdf5 samples=8361
[train-sharded:train] 18/1197 shards | elapsed 20:26 | rate 0.01/shard/s | remaining 22:18:29 | epoch=1/1 shard=droid_train_0017.hdf5 samples=9310
